Category,Keyword,Type,Recommended Placement,Notes
Primary,blind spots,Core Concept,Title / Short Description,Signature keyword of Owlume
Primary,clarity,Core Concept,Title / Short Description / Long Description,Anchor term for brand promise
Primary,reflection,Core Concept,Description / Tags,Central behavior Owlume enables
Primary,questioncraft,Core Concept,Description / README / Metadata,Proprietary method term
Primary,decision-making,Core Concept,Tags / Description / Starters,High-frequency search term
Primary,critical thinking,Core Concept,Tags / Description,Positions Owlume intellectually
Primary,self-awareness,Core Concept,Description / Tags,Emotional self-reflection anchor
Primary,assumptions,Core Concept,Description / Starters,Common user phrasing
Primary,clarity engine,Core Concept,Description / README,Unique differentiator term
Primary,reflection coach,Core Concept,Description / Tags,Humanized label for Owlume
Secondary,leadership,Use Context,Description / Tags,Professional application
Secondary,relationships,Use Context,Description / Starters,Emotional domain
Secondary,co-founder tension,Use Context,Starters,Common startup-specific dilemma
Secondary,team alignment,Use Context,Description / Starters,Workplace clarity theme
Secondary,strategy,Use Context,Description / Tags,Frequent search by executives
Secondary,planning,Use Context,Description / Starters,High-search business context
Secondary,problem-solving,Use Context,Description / Tags,Alternative phrasing for clarity work
Secondary,creativity,Use Context,Description / Tags,Appeals to broader creator audience
Secondary,productivity,Use Context,Tags,Crossover category visibility
Secondary,mental clarity,Use Context,Description,Emotional resonance phrase
Secondary,life decisions,Use Context,Description / Starters,Broad appeal for personal use
Secondary,journaling,Use Context,Tags / Starters,Hooks reflective users
Secondary,perspective taking,Use Context,Description,Subtle cognitive framing term
Tertiary,challenge my thinking,Emotional Intent,Starters / Description,High-impact reflection trigger
Tertiary,stress test my plan,Emotional Intent,Starters,Strong decision intent
Tertiary,question my assumptions,Emotional Intent,Starters / Description,Popular self-inquiry phrase
Tertiary,see what I’m missing,Emotional Intent,Description / Starters,Signature reflection verb
Tertiary,reflect on my choices,Emotional Intent,Description / Tags,Soft emotional phrasing
Tertiary,make better decisions,Emotional Intent,Description / Tags,Goal-oriented phrase
Tertiary,find clarity,Emotional Intent,Description / Starters,Simplest form of intent
Tertiary,think deeper,Emotional Intent,Description / Starters,Introspective audience
Tertiary,get perspective,Emotional Intent,Description / Starters,Alternate to “reflect”
Tertiary,before I decide,Emotional Intent,Starters / Description,Decision-timing cue
Tertiary,uncover blind spots,Emotional Intent,Description / Tags,Signature discovery phrase
Tertiary,see clearly,Emotional Intent,Description,Emotional resonance
Tertiary,improve self-understanding,Emotional Intent,Description / Tags,High-intent self-development phrase
